RTENAME,StateNm,RouteID,U_S_R_I,id,ppt00_mean,ppt01_mean,ppt15_mean,ppt16_mean,tmean00_me,tmean01_me,tmean15_me,tmean16_me
BUDA,34,011,34_011,1188,821.476249999999000,981.419999999999000,1085.943750000000000,906.404999999999000,11.022499999999900,9.797499999999990,10.440000000000000,9.846250000000000
BUDA,34,011,34_011,1189,824.676666666666000,967.730000000000000,1112.194999999990000,934.133333333333000,10.899999999999900,9.639999999999990,10.298333333333300,9.695000000000000
BUDA,34,011,34_011,1190,832.040000000000000,957.935714285714000,1131.001428571420000,965.417142857142000,10.951428571428500,9.691428571428570,10.334285714285700,9.741428571428570
PUTNAM,34,009,34_009,1191,817.177500000000000,1010.355000000000000,1203.387499999990000,1010.764999999990000,11.315000000000000,10.109999999999900,10.660000000000000,10.167500000000000
PUTNAM,34,009,34_009,1192,837.057499999999000,982.830000000000000,1217.212500000000000,1015.730000000000000,11.520000000000000,10.357500000000000,10.945000000000000,10.547499999999900
PUTNAM,34,009,34_009,1193,849.056666666666000,975.646666666666000,1235.369999999990000,1001.169999999990000,11.558333333333300,10.406666666666600,11.023333333333300,10.658333333333300
PUTNAM,34,009,34_009,1194,844.760000000000000,979.710000000000000,1217.676666666660000,979.704999999999000,11.520000000000000,10.361666666666600,10.936666666666600,10.528333333333300
PUTNAM,34,009,34_009,1195,845.200000000000000,978.812222222222000,1149.091111111110000,900.575555555555000,11.645555555555500,10.485555555555500,10.944444444444400,10.493333333333300
MONICA,34,026,34_026,1196,808.792857142857000,956.118571428571000,1203.845714285710000,947.928571428571000,11.347142857142800,10.182857142857100,10.680000000000000,10.148571428571400
MONICA,34,026,34_026,1197,804.882499999999000,929.167499999999000,1150.841249999990000,962.846250000000000,11.491250000000000,10.385000000000000,10.826250000000000,10.277500000000000
MONICA,34,026,34_026,1198,797.603333333333000,915.643333333333000,1099.643333333330000,982.981666666666000,11.566666666666600,10.473333333333300,10.901666666666600,10.348333333333300
MONICA,34,026,34_026,1199,799.891428571428000,915.001428571428000,1107.379999999990000,976.578571428571000,11.504285714285700,10.395714285714200,10.865714285714200,10.320000000000000
MONICA,34,026,34_026,1200,807.437142857142000,934.837142857142000,1156.782857142850000,952.531428571428000,11.462857142857100,10.321428571428500,10.804285714285700,10.272857142857100
PONTIAC,34,032,34_032,1201,771.419999999999000,972.004999999999000,1129.451666666660000,1015.676666666660000,11.955000000000000,10.743333333333300,10.971666666666600,10.313333333333300
PONTIAC,34,032,34_032,1202,779.595000000000000,962.947499999999000,1146.167500000000000,1002.197499999990000,11.952500000000000,10.757500000000000,10.969999999999900,10.352499999999900
