RTENAME,StateNm,RouteID,U_S_R_I,id,t00m_mean,t00j_mean,t01m_mean,t01j_mean,t15m_mean,t15j_mean,t16m_mean,t16j_mean
PABLO RES.,53,074,53_074,2536,11.686666666666600,15.033333333333300,13.083333333333300,14.183333333333300,12.663333333333300,20.209999999999900,11.943333333333300,16.449999999999900
PABLO RES.,53,074,53_074,2537,11.233333333333300,14.650000000000000,12.406666666666600,13.896666666666600,12.136666666666600,19.550000000000000,11.616666666666600,16.033333333333300
PABLO RES.,53,074,53_074,2538,11.212500000000000,14.672499999999900,12.347500000000000,13.892500000000000,12.155000000000000,19.497499999999900,11.580000000000000,15.949999999999900
PABLO RES.,53,074,53_074,2539,11.190000000000000,14.712499999999900,12.355000000000000,13.892500000000000,12.085000000000000,19.322500000000000,11.457500000000000,15.775000000000000
PABLO RES.,53,074,53_074,2540,11.090000000000000,14.650000000000000,12.245000000000000,13.865000000000000,11.850000000000000,18.990000000000000,11.240000000000000,15.500000000000000
ST REGIS,53,013,53_013,2541,7.797500000000000,11.664999999999900,9.484999999999990,10.847500000000000,10.487500000000000,17.535000000000000,9.539999999999990,14.072500000000000
ST REGIS,53,013,53_013,2542,7.845000000000000,11.622499999999900,9.490000000000000,10.859999999999900,10.350000000000000,17.267500000000000,9.549999999999990,13.977500000000000
ST REGIS,53,013,53_013,2543,8.722500000000000,12.629999999999900,10.345000000000000,11.855000000000000,10.907499999999900,17.475000000000000,10.267500000000000,14.390000000000000
ST REGIS,53,013,53_013,2544,8.347500000000000,12.492500000000000,10.000000000000000,11.692499999999900,10.792499999999900,17.785000000000000,10.057500000000000,14.520000000000000
ST REGIS,53,013,53_013,2545,9.395000000000000,14.010000000000000,11.175000000000000,13.030000000000000,11.630000000000000,18.715000000000000,11.125000000000000,15.500000000000000
CIRCLE,53,023,53_023,2546,12.789999999999900,15.845000000000000,13.432499999999900,16.640000000000000,10.870000000000000,18.857500000000000,12.497500000000000,18.662500000000000
CIRCLE,53,023,53_023,2547,12.772499999999900,15.822500000000000,13.422500000000000,16.615000000000000,10.847500000000000,18.827500000000000,12.482500000000000,18.637499999999900
CIRCLE,53,023,53_023,2548,12.867500000000000,15.840000000000000,13.510000000000000,16.697499999999900,10.844999999999900,18.859999999999900,12.622500000000000,18.642499999999900
CIRCLE,53,023,53_023,2549,12.987500000000000,15.940000000000000,13.639999999999900,16.829999999999900,10.920000000000000,18.969999999999900,12.774999999999900,18.720000000000000
CIRCLE,53,023,53_023,2550,13.047500000000000,15.947499999999900,13.677499999999900,16.855000000000000,10.924999999999900,18.972500000000000,12.845000000000000,18.715000000000000
SAVAGE,53,024,53_024,2551,13.337499999999900,15.875000000000000,13.270000000000000,16.759999999999900,10.437500000000000,18.320000000000000,12.627500000000000,19.094999999999900
SAVAGE,53,024,53_024,2552,13.463333333333300,15.976666666666600,13.456666666666600,16.849999999999900,10.673333333333300,18.496666666666600,12.873333333333300,19.256666666666600
SAVAGE,53,024,53_024,2553,13.695000000000000,16.204999999999900,13.805000000000000,17.060000000000000,11.055000000000000,18.840000000000000,13.289999999999900,19.560000000000000
SAVAGE,53,024,53_024,2554,13.914999999999900,16.454999999999900,14.105000000000000,17.329999999999900,11.469999999999900,19.180000000000000,13.574999999999900,19.924999999999900
SAVAGE,53,024,53_024,2555,13.565000000000000,15.935000000000000,13.760000000000000,17.009999999999900,11.074999999999900,18.737500000000000,13.199999999999900,19.369999999999900
ARLEE,53,015,53_015,2556,8.870000000000000,12.005000000000000,10.310000000000000,11.725000000000000,9.035000000000000,16.212499999999900,8.857500000000000,13.912500000000000
ARLEE,53,015,53_015,2557,7.756666666666660,11.133333333333300,8.886666666666660,10.653333333333300,8.736666666666660,16.003333333333300,8.453333333333330,13.376666666666600
